LoanNumber,LoanGuid,LoanFolder,ClosingDate
4.00E+14,8689f44e-b8b7-4230-b7b1-34a5446d39b4,Active,9/26/2024 0:00
4.41E+14,5579ef82-ebb1-42e1-a549-dc2d2c611aad,Active,9/26/2024 0:00
4.41E+14,e3669e62-dee3-4bd6-8d19-c8bfe80ea66b,Active,9/26/2024 0:00
4.00E+14,265bda34-8485-4541-888f-404c303aac6d,Active,9/26/2024 0:00
4.00E+14,08290be3-7081-43f4-bd27-746e27cb29bf,Active,9/26/2024 0:00
4.00E+14,bc0484c9-8811-4eb9-a442-52924bdd5f96,Active,9/26/2024 0:00
4.01E+14,0949775c-18b3-454a-8451-7caf77b810d1,Active,9/26/2024 0:00
4.00E+14,d0ab8539-6fb5-4157-b8c7-d6985404e1be,Active,9/26/2024 0:00
4.00E+14,4b448cf0-591e-4afd-87e2-95ba4c5983de,Active,9/26/2024 0:00
4.00E+14,625d9107-784a-45dd-a587-2dc7bce5e180,Active,9/26/2024 0:00
4.41E+14,84a7dcee-8440-4f1b-8997-cb24534c3c76,Active,9/26/2024 0:00
4.41E+14,64ebcc4d-c920-4fb1-bef9-f89bf26a2c6a,Active,9/26/2024 0:00
4.01E+14,51b1854b-edd1-4671-9fb3-be2fc54700ed,Active,9/26/2024 0:00
4.00E+14,78253943-cb8c-4e0a-b9c1-36f576d707ee,Active,9/26/2024 0:00
4.00E+14,db22f72d-208e-479d-b315-ec328a2a4936,Active,9/26/2024 0:00
4.00E+14,747e32fe-6573-4c81-8847-c17690730e5f,Active,9/26/2024 0:00
4.00E+14,ca385051-f0d8-401e-96ae-b36877d0fb20,Active,9/26/2024 0:00
4.00E+14,1741f317-701a-4bed-9cf7-1da4693a8e9c,Active,9/26/2024 0:00
4.00E+14,f67a879f-84ce-4bc0-af2c-3958731888c5,Active,9/26/2024 0:00
4.00E+14,0baac051-a959-445a-8bd2-b08a192b1653,Active,9/26/2024 0:00
9.60E+14,24305758-79b8-41fd-89b1-d2af9cc0613d,Active,9/26/2024 0:00
4.00E+14,811d674d-5a75-4922-a4d7-15de8559eabc,Active,9/26/2024 0:00
9.60E+14,022b19df-234f-4448-bb2b-f2bb6f97fa3c,Active,9/27/2024 0:00
4.00E+14,71dda8e5-544c-4e13-9ead-941d9e2a5e7b,Active,9/27/2024 0:00
4.00E+14,90bc061f-1b87-416a-8ba9-3deb221fd524,Active,9/27/2024 0:00
4.01E+14,6b6ee7e7-34ca-423d-a6c6-673243ff119b,Active,9/27/2024 0:00
4.00E+14,2097dc61-e44d-4181-ac81-4863334880eb,Active,9/27/2024 0:00
9.60E+14,42339e15-60e2-40c1-a1ce-fa2b84b1c6d7,Active,9/27/2024 0:00
4.00E+14,612cd7ac-a4a1-4ae0-b0a0-eafa2b781df7,Active,9/27/2024 0:00
4.00E+14,97fe9ee0-8638-455e-8f4d-79d0558c60c3,Active,9/27/2024 0:00
